"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Coarse_STE","Coarse_STE_rank"
"59","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","Genus"
"60","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","Genus"
"61","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","Anafroptilum/Procloeon","Genus"
"68","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anisoptera","Suborder"
"74","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","Apataniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Apataniidae","Family"
"79","Arthropoda","Chelicerata","ZZZ","Arachnida","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Arachnida","Class"
"80","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Ptilodactylidae","Araeopidiinae","ZZZ","ZZZ","ZZZ","ZZZ","Araeopidius","ZZZ","ZZZ","monachus","ZZZ","Araeopidius monachus","Species"
"81","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Lestidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","Genus"
"87","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Arrenuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"88","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Arrenuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Arrenurus","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"91","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Furcatergalia","ZZZ","ZZZ","Leptohyphidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Asioplax","ZZZ","ZZZ","ZZZ","ZZZ","Asioplax","Genus"
"94","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Athienemanniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"96","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Atractides","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"97","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Atractides","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"101","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Aturidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"102","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Aturidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aturus","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"106","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Cryptocephalinae","ZZZ","Clytrini","ZZZ","ZZZ","Babia","ZZZ","ZZZ","ZZZ","ZZZ","Babia","Genus"
"107","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Baetidae","Family"
"118","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Baetodes","ZZZ","ZZZ","ZZZ","ZZZ","Baetodes","Genus"
"119","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Baetopus","ZZZ","ZZZ","trishae","ZZZ","Baetopus trishae","Species"
"120","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Anisitsiellidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Bandakiopsis","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"121","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Nepomorpha","Nepoidea","Belostomatidae","Belostomatinae","ZZZ","ZZZ","ZZZ","ZZZ","Belostoma","ZZZ","ZZZ","ZZZ","ZZZ","Belostoma","Genus"
"122","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Berosini","ZZZ","ZZZ","Berosus","ZZZ","ZZZ","ZZZ","ZZZ","Berosus","Genus"
"126","Mollusca","ZZZ","ZZZ","Bivalvia","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Bivalvia","Class"
"133","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","Hydroporini","ZZZ","ZZZ","Boreonectes","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"135","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Carabidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Brachinus","ZZZ","ZZZ","americanus","ZZZ","Brachinus americanus","Species"
"144","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Axonopsidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Brachypoda","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"166","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Calopterygidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Calopterygidae","Family"
"169","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Camelobaetidius","ZZZ","ZZZ","ZZZ","ZZZ","Camelobaetidius","Genus"
"171","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Capniidae","Family"
"172","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Capniidae","Family"
"173","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Capniidae","Family"
"174","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Capniidae","Family"
"175","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Capniidae","Family"
"205","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Chamoidea","Chamidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Chama","ZZZ","ZZZ","ZZZ","ZZZ","Chama","Genus"
"213","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Athienemanniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Chelomideopsis","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"222","Mollusca","ZZZ","ZZZ","Bivalvia","Pteriomorphia","ZZZ","ZZZ","Ostreoida","ZZZ","ZZZ","ZZZ","Pectinidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Chlamys","ZZZ","ZZZ","ZZZ","ZZZ","Chlamys","Genus"
"234","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Sternorrhyncha","ZZZ","Aphidoidea","Aphididae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Cinara","ZZZ","ZZZ","ZZZ","ZZZ","Cinara","Genus"
"247","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Rhysodidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Clinidium","ZZZ","ZZZ","ZZZ","ZZZ","Clinidium","Genus"
"260","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Coleoptera","Order"
"262","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Colymbetinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"263","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Colymbetinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"267","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Copelatinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"269","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Coptotiminae","ZZZ","Coptotimini","ZZZ","ZZZ","Coptotomus","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"270","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Corbiculoidea","Corbiculidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Corbicula","ZZZ","ZZZ","ZZZ","ZZZ","Corbicula","Genus"
"271","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Corbiculoidea","Corbiculidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Corbicula","ZZZ","ZZZ","ZZZ","ZZZ","Corbicula","Genus"
"272","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Corbiculoidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Corbiculoidea","Superfamily"
"275","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Cordulegastridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Cordulegastridae","Family"
"303","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Cucujiformia","Curculionoidea","Curculionidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Curculionidae","Family"
"304","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Hydrophilini","ZZZ","ZZZ","Cymbiodyta","ZZZ","ZZZ","ZZZ","ZZZ","Cymbiodyta","Genus"
"360","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Dryopidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dryopidae","Family"
"362","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"415","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Ephemeroptera","Order"
"429","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Lebertiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Estelloxus","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"430","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Lebertiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Estelloxus","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"447","Arthropoda","Chelicerata","ZZZ","Arachnida","ZZZ","ZZZ","ZZZ","Palpigradi","ZZZ","ZZZ","Eukoenenioidea","Eukoeneniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Eukoenenia","ZZZ","ZZZ","ZZZ","ZZZ","Eukoenenia","Genus"
"449","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Eylaidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Eylais","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"450","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Fallceon","ZZZ","ZZZ","ZZZ","ZZZ","Fallceon","Genus"
"451","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Fallceon","ZZZ","ZZZ","ZZZ","ZZZ","Fallceon","Genus"
"453","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Feltriidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Feltria","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"459","Ectoprocta","ZZZ","ZZZ","Gymnolaemata","ZZZ","ZZZ","ZZZ","Cheilostomata","Anasca","ZZZ","ZZZ","Flustridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Flustra","ZZZ","ZZZ","ZZZ","ZZZ","Flustra","Genus"
"463","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Pionidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Forelia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"466","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Oxidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Frontipoda","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"473","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Georyssidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Georyssus","ZZZ","ZZZ","ZZZ","ZZZ","Georyssus","Genus"
"474","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Pionidae","Huitfeldtiinae","ZZZ","ZZZ","ZZZ","ZZZ","Gereckea","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"477","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Carditoidea","Carditidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Glans","ZZZ","ZZZ","ZZZ","ZZZ","Glans","Genus"
